Concentraciones horarias para PM25 red MXC 2018

Fecha,Hora,COB,UABC
2018-01-01,1,622.000000,344.000000
2018-01-01,2,744.000000,292.000000
2018-01-01,3,678.000000,278.000000
2018-01-01,4,688.000000,296.000000
2018-01-01,5,789.000000,286.000000
2018-01-01,6,809.000000,297.000000
2018-01-01,7,729.000000,385.000000
2018-01-01,8,636.000000,609.000000
2018-01-01,9,366.000000,419.000000
2018-01-01,10,87.000000,130.000000
2018-01-01,11,41.000000,58.000000
2018-01-01,12,21.000000,18.000000
2018-01-01,13,13.000000,11.000000
2018-01-01,14,10.000000,8.000000
2018-01-01,15,15.000000,7.000000
2018-01-01,16,11.000000,7.000000
2018-01-01,17,36.000000,13.000000
2018-01-01,18,70.000000,38.000000
2018-01-01,19,148.000000,50.000000
2018-01-01,20,151.000000,82.000000
2018-01-01,21,184.000000,73.000000
2018-01-01,22,156.000000,57.000000
2018-01-01,23,318.000000,90.000000
2018-01-01,24,342.000000,159.000000
2018-01-02,1,229.000000,95.000000
2018-01-02,2,95.000000,48.000000
2018-01-02,3,113.000000,69.000000
2018-01-02,4,84.000000,59.000000
2018-01-02,5,62.000000,38.000000
2018-01-02,6,59.000000,34.000000
2018-01-02,7,61.000000,44.000000
2018-01-02,8,61.000000,50.000000
2018-01-02,9,37.000000,50.000000
2018-01-02,10,34.000000,38.000000
2018-01-02,11,30.000000,21.000000
2018-01-02,12,30.000000,10.000000
2018-01-02,13,11.000000,8.000000
2018-01-02,14,10.000000,6.000000
2018-01-02,15,9.000000,3.000000
2018-01-02,16,8.000000,6.000000
2018-01-02,17,16.000000,11.000000
2018-01-02,18,58.000000,26.000000
2018-01-02,19,74.000000,56.000000
2018-01-02,20,163.000000,88.000000
2018-01-02,21,149.000000,43.000000
2018-01-02,22,145.000000,40.000000
2018-01-02,23,145.000000,60.000000
2018-01-02,24,201.000000,69.000000
2018-01-03,1,164.000000,42.000000
2018-01-03,2,165.000000,75.000000
2018-01-03,3,180.000000,101.000000
2018-01-03,4,171.000000,67.000000
2018-01-03,5,186.000000,28.000000
2018-01-03,6,188.000000,60.000000
2018-01-03,7,171.000000,57.000000
2018-01-03,8,158.000000,124.000000
2018-01-03,9,127.000000,57.000000
2018-01-03,10,76.000000,32.000000
2018-01-03,11,41.000000,36.000000
2018-01-03,12,13.000000,8.000000
2018-01-03,13,12.000000,7.000000
2018-01-03,14,13.000000,7.000000
2018-01-03,15,8.000000,7.000000
2018-01-03,16,10.000000,8.000000
2018-01-03,17,41.000000,18.000000
2018-01-03,18,80.000000,48.000000
2018-01-03,19,62.000000,47.000000
2018-01-03,20,60.000000,47.000000
2018-01-03,21,82.000000,71.000000
2018-01-03,22,87.000000,67.000000
2018-01-03,23,79.000000,67.000000
2018-01-03,24,77.000000,31.000000
2018-01-04,1,79.000000,42.000000
2018-01-04,2,112.000000,65.000000
2018-01-04,3,75.000000,73.000000
2018-01-04,4,57.000000,56.000000
2018-01-04,5,46.000000,35.000000
2018-01-04,6,44.000000,21.000000
2018-01-04,7,58.000000,41.000000
2018-01-04,8,71.000000,45.000000
2018-01-04,9,45.000000,29.000000
2018-01-04,10,11.000000,7.000000
2018-01-04,11,11.000000,
2018-01-04,12,10.000000,7.000000
2018-01-04,13,10.000000,6.000000
2018-01-04,14,12.000000,7.000000
2018-01-04,15,11.000000,5.000000
2018-01-04,16,10.000000,5.000000
2018-01-04,17,32.000000,11.000000
2018-01-04,18,40.000000,27.000000
2018-01-04,19,61.000000,56.000000
2018-01-04,20,73.000000,34.000000
2018-01-04,21,121.000000,44.000000
2018-01-04,22,149.000000,73.000000
2018-01-04,23,159.000000,68.000000
2018-01-04,24,118.000000,76.000000
2018-01-05,1,129.000000,71.000000
2018-01-05,2,166.000000,142.000000
2018-01-05,3,193.000000,95.000000
2018-01-05,4,163.000000,50.000000
2018-01-05,5,126.000000,52.000000
2018-01-05,6,136.000000,80.000000
2018-01-05,7,105.000000,104.000000
2018-01-05,8,104.000000,86.000000
2018-01-05,9,101.000000,95.000000
2018-01-05,10,60.000000,56.000000
2018-01-05,11,43.000000,53.000000
2018-01-05,12,87.000000,36.000000
2018-01-05,13,44.000000,27.000000
2018-01-05,14,18.000000,17.000000
2018-01-05,15,17.000000,18.000000
2018-01-05,16,16.000000,13.000000
2018-01-05,17,27.000000,13.000000
2018-01-05,18,39.000000,18.000000
2018-01-05,19,72.000000,35.000000
2018-01-05,20,78.000000,30.000000
2018-01-05,21,49.000000,31.000000
2018-01-05,22,144.000000,55.000000
2018-01-05,23,113.000000,61.000000
2018-01-05,24,103.000000,82.000000
2018-01-06,1,118.000000,101.000000
2018-01-06,2,104.000000,99.000000
2018-01-06,3,110.000000,78.000000
2018-01-06,4,95.000000,75.000000
2018-01-06,5,91.000000,81.000000
2018-01-06,6,99.000000,85.000000
2018-01-06,7,108.000000,72.000000
2018-01-06,8,90.000000,88.000000
2018-01-06,9,80.000000,88.000000
2018-01-06,10,74.000000,106.000000
2018-01-06,11,56.000000,92.000000
2018-01-06,12,59.000000,67.000000
2018-01-06,13,45.000000,63.000000
2018-01-06,14,31.000000,43.000000
2018-01-06,15,31.000000,41.000000
2018-01-06,16,37.000000,40.000000
2018-01-06,17,50.000000,47.000000
2018-01-06,18,73.000000,57.000000
2018-01-06,19,69.000000,68.000000
2018-01-06,20,36.000000,58.000000
2018-01-06,21,9.000000,34.000000
2018-01-06,22,20.000000,27.000000
2018-01-06,23,14.000000,25.000000
2018-01-06,24,10.000000,12.000000
2018-01-07,1,14.000000,8.000000
2018-01-07,2,10.000000,5.000000
2018-01-07,3,8.000000,12.000000
2018-01-07,4,16.000000,8.000000
2018-01-07,5,23.000000,8.000000
2018-01-07,6,20.000000,23.000000
2018-01-07,7,23.000000,25.000000
